name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
"Pavane, Op. 50",Classic Williams -- Romance of the Guitar,John Williams,Classical,1984,306800,0.976,0.345,0.0534,0.892,0.112,-24.109,0.03,143.742
<3,<3 - Single,Thomas Bergersen,Classical,3/18/2011,189360,0.921,0.145,0.126,0.784,0.0733,-14.125,0.0359,66.381
"Beethoven: Piano Concerto No. 5 in E-Flat Major, Op. 73, ""Emperor"": II. Adagio un poco mosso (Arr. for Harp)",Relax,Various Artists,Classical,9/8/2008,421733,0.973,0.372,0.0556,0.862,0.11,-25.647,0.041,183.835
"Pavane pour une infante d̩funte (Pavane for a Dead Princess), M. 19",The 50 Most Essential Relaxing Classics,Various Artists,Classical,11/30/2010,398840,0.973,0.173,0.0893,0.942,0.13,-26.387,0.0383,74.082
The Universal,The Alternative Classical Chillout Album,Royal Philharmonic Orchestra,Classical,2002,200400,0.801,0.373,0.0799,0.181,0.0988,-16.334,0.0329,143.075
Soul Destination,Soul Destination,Matthias De Jaeger,Classical,11/25/2021,162744,0.99,0.405,0.0683,0.93,0.118,-19.082,0.0471,121.822
"Horner: My Heart Will Go On (Love Theme From ""Titanic"") [Arr. for Orchestra]",50 Best Film,Various Artists,Classical,9/6/2010,262466,0.894,0.0896,0.225,0.902,0.148,-15.439,0.0372,73.044
Sheep may safely graze from Cantata No. 208 (arr. Marriner),100 Best Relaxing Classics,Various Artists,Classical,4/20/2007,279360,0.959,0.204,0.0816,0.943,0.123,-22.315,0.0442,109.15
"Morricone: Gabriel's Oboe (From ""The Mission"")",Relax,Various Artists,Classical,9/8/2008,134613,0.921,0.245,0.123,0.893,0.0752,-21.068,0.041,60.832
Barry: You Only Live Twice (Main Theme),50 Best Film,Various Artists,Classical,9/6/2010,176853,0.69,0.131,0.169,0.711,0.353,-18.479,0.0327,79.409
3 Gymnop̩dies: 1. Lent et douloureux,Classical Chillout,Various Artists,Classical,4/27/2009,195506,0.996,0.455,0.0285,0.959,0.102,-34.835,0.0794,79.452
"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Relax,Various Artists,Classical,9/8/2008,399000,0.98,0.12,0.0384,0.768,0.104,-23.13,0.0425,92.792
"Handel / Arr. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande (Arr. Hale for Orchestra)",Classical Chillout,Various Artists,Classical,4/27/2009,205840,0.918,0.21,0.0514,0.813,0.1,-21.496,0.0455,111.475
"Vivaldi: Violin Concerto in F Minor, RV 297, ""L'inverno"": II. Largo (from ""Il cimento dell'armonia e dell'inventione"", Op. 8, No. 4)",Relax,Various Artists,Classical,9/8/2008,128800,0.888,0.234,0.106,0.00298,0.277,-24.16,0.0586,141.982
Mascagni: Cavalleria Rusticana - Intermezzo,50 Best Film,Various Artists,Classical,9/6/2010,223786,0.769,0.101,0.115,0.891,0.406,-17.553,0.0392,84.976
"Concerto for Violin, Oboe and Strings in D minor BWV 1060 - 1991 Remastered Version",Classical Chillout,Various Artists,Classical,4/27/2009,357453,0.797,0.194,0.136,0.144,0.321,-23.987,0.0418,77.767
Jenkins: The Armed Man (A Mass for Peace): X. Agnus Dei,Relax,Various Artists,Classical,9/8/2008,218520,0.981,0.239,0.134,0.828,0.0781,-19.858,0.0345,55.53
Shore: Lord of the Rings: The Fellowship,50 Best Film,Various Artists,Classical,9/6/2010,354600,0.842,0.0812,0.197,0.956,0.115,-17.511,0.0452,81.912
Mozart: Piano Concerto No. 21 in C K467 'Elvira Madigan': II. Andante,100 Best Relaxing Classics,Various Artists,Classical,4/20/2007,408613,0.986,0.229,0.0637,0.949,0.0921,-24.687,0.035,96.28
"Giazzotto: Adagio for Strings and Organ in G Minor, ""Albinoni's Adagio"" (Excerpt)",Relax,Various Artists,Classical,9/8/2008,352146,0.679,0.0958,0.0981,0.76,0.121,-20.357,0.0432,86.385
Braveheart-End Titles,50 Best Film,Various Artists,Classical,9/6/2010,426560,0.745,0.0954,0.0781,0.699,0.0883,-21.151,0.0388,87.94
"Vaughan Williams: The Lark Ascending, for Violin and Orchestra (Excerpt, Opening)",Relax,Various Artists,Classical,9/8/2008,385266,0.848,0.146,0.0774,0.456,0.0953,-25.384,0.0427,102.456
"Nyman: Music for Jane Campion's Film ""The Piano"": No. 4 ""The Heart Asks Pleasure First"" - No. 6 ""The Promise""",Classical Chillout,Various Artists,Classical,4/27/2009,192973,0.96,0.229,0.227,0.944,0.0948,-16.967,0.0298,177.313
"Mozart: Flute and Harp Concerto in C Major, K. 299/297c (Excerpt): II. Andantino - 1985 Remastered Version",Relax,Various Artists,Classical,9/8/2008,240773,0.981,0.264,0.113,0.934,0.107,-19.86,0.0407,116.989
Sanctus,Classical Chillout,Various Artists,Classical,4/27/2009,189080,0.941,0.181,0.174,0.775,0.141,-16.683,0.0373,97.736
"Elgar: Variations on a Theme, Op. 36, ""Enigma"": IX. Nimrod (Adagio)",Relax,Various Artists,Classical,9/8/2008,237160,0.981,0.0618,0.19,0.801,0.105,-16.299,0.038,59.032
Saving Private Ryan - Hymn to the Fallen,50 Best Film,Various Artists,Classical,9/6/2010,365026,0.85,0.21,0.149,0.932,0.124,-18.826,0.0363,127.415
En Aranjuez Con Tu Amor,Classical Chillout,Various Artists,Classical,4/27/2009,325093,0.971,0.247,0.0352,0.00863,0.0803,-19.278,0.0455,129.192
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2, ""Moonlight"": I. Adagio sostenuto (Excerpt)",Relax,Various Artists,Classical,9/8/2008,237120,0.996,0.276,0.0127,0.918,0.148,-34.464,0.0485,75.004
"Williams, J.: Schindler's List: No. 1, Main Theme",Classical Chillout,Various Artists,Classical,4/27/2009,304960,0.844,0.163,0.137,0.904,0.0821,-18.245,0.0447,82.91
"Shostakovich: The Gadfly (Suite), Op. 97a: No. 8, Romance (Arr. for Violin and Piano)",Relax,Various Artists,Classical,9/8/2008,195386,0.967,0.109,0.0568,0.607,0.0939,-24.737,0.0496,175.4
"Mozart: Symphony No. 40 in G Minor, K. 550: I. Molto allegro (Excerpt)",50 Best Film,Various Artists,Classical,9/6/2010,336013,0.979,0.384,0.213,0.904,0.103,-15.808,0.0381,111.392
Jenkins / Arr Ratledge: Adiemus: Adiemus,Classical Chillout,Various Artists,Classical,4/27/2009,237426,0.821,0.284,0.405,0.219,0.174,-16.582,0.0654,150.121
"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)",Relax,Various Artists,Classical,9/8/2008,302093,0.748,0.13,0.158,0.924,0.1,-16.132,0.035,85.031
Morricone: Chi Mai,Classical Chillout,Various Artists,Classical,4/27/2009,308760,0.516,0.376,0.133,0.664,0.0872,-19.173,0.0307,96.3
"Grieg: Peer Gynt, Act 4: No. 1. Morning Mood",Relax,Various Artists,Classical,9/8/2008,257920,0.968,0.145,0.0401,0.946,0.217,-20.864,0.0419,75.074
Mandolin Concerto in C RV425 (1970 Digital Remaster): I. [Allegro],50 Best Film,Various Artists,Classical,9/6/2010,179626,0.766,0.432,0.284,0.808,0.207,-18.513,0.0384,89.855
"Rodrigo: Concierto de Aranjuez: II. Adagio (Excerpt, Opening)",Relax,Various Artists,Classical,9/8/2008,285186,0.957,0.287,0.0341,0.933,0.114,-25.228,0.0357,144.288
