,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
49,Mind Playing Tricks on Me,We Can't Be Stopped,Geto Boys,1991-07-02,308733,65,0.886,0.207,0.886,0.512,0.0,0.0991,-11.825,0.237,93.997
50,Gangsta's Paradise,Gangsta's Paradise,Coolio,1995-11-07,240693,23,0.647,0.0655,0.647,0.514,0.0,0.398,-10.05,0.0593,79.974
51,Real Muthaphuckkin' G's,Gangsta Memorial,Eazy-E,2007-01-01,332733,69,0.724,0.0164,0.724,0.853,0.0,0.65,-3.895,0.283,170.51
52,Gimme Some More,Extinction Level Event: The Final World Front,Busta Rhymes,1998,158466,56,0.591,0.00832,0.591,0.855,5.87e-05,0.771,-8.339,0.339,136.734
53,Don't Sweat The Technique,Don't Sweat The Technique,Eric B. & Rakim,1992-01-01,262800,60,0.737,0.00556,0.737,0.89,0.00171,0.0801,-8.443,0.158,105.848
54,Simon Says,Internal Affairs,Pharoahe Monch,2019-10-18,173373,54,0.622,0.141,0.622,0.913,2.71e-05,0.12,-3.701,0.462,92.222
55,I Get Around,Strictly 4 My N.I.G.G.A.Z...,2Pac,1993-02-16,259000,67,0.846,0.156,0.846,0.416,9.34e-06,0.238,-13.767,0.118,96.188
56,"Shame On a Nigga (feat. Raekwon, Ol' Dirty Bastard & Method Man)",Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,1993-11-09,177066,58,0.889,0.0854,0.889,0.466,7.37e-06,0.384,-10.74,0.36,100.17
57,Who Shot Ya? - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,319360,65,0.831,0.256,0.831,0.682,0.0,0.494,-5.697,0.238,91.771
58,Ain't No Half-Steppin',Long Live The Kane,Big Daddy Kane,1988-01-01,319906,49,0.836,0.00569,0.836,0.728,0.000819,0.0649,-12.058,0.234,100.842
59,They Want EFX,Dead Serious,Das EFX,1992-04-07,221400,50,0.755,0.115,0.755,0.459,0.0,0.0851,-12.84,0.358,98.454
60,Fuck Tha Police,Straight Outta Compton,N.W.A.,1988-08-08,345717,68,0.859,0.0193,0.859,0.75,0.0,0.0538,-8.325,0.303,98.691
61,Boyz-N-The-Hood,N.W.A. And The Posse,N.W.A.,1987-01-01,339893,67,0.785,0.0417,0.785,0.479,3.5e-05,0.334,-10.247,0.362,87.691
62,No Vaseline,Death Certificate (25th Anniversary Edition),Ice Cube,2017-06-09,313053,4,0.777,0.179,0.777,0.957,0.0,0.296,-3.201,0.319,105.756
63,Keep Their Heads Ringin',Keep Their Heads Ringin',Dr. Dre,1995-03-07,310226,60,0.671,0.0338,0.671,0.737,0.00344,0.0596,-5.131,0.108,90.519
64,Gangsta Nation,Terrorist Threats,Westside Connection,2003-12-09,293053,66,0.843,0.127,0.843,0.7,0.0,0.876,-3.249,0.26,95.05
65,Woo Hah!! Got You All in Check,The Coming,Busta Rhymes,1996,271973,52,0.842,0.127,0.842,0.831,0.0,0.0881,-7.072,0.242,92.053
66,Alwayz Into Somethin',Efil4zaggin,N.W.A.,1991-05-28,264960,59,0.709,0.0114,0.709,0.874,0.0,0.213,-4.522,0.193,88.546
67,Only God Can Judge Me (ft. Rappin' 4-Tay),All Eyez On Me,2Pac,1996,296906,2,0.803,0.0012,0.803,0.784,0.000161,0.0794,-5.97,0.198,90.185
68,Know The Ledge,Don't Sweat The Technique,Eric B. & Rakim,1992-01-01,238866,48,0.794,0.0289,0.794,0.88,2.52e-05,0.0683,-9.77,0.162,115.666
69,Watch Out Now,A Musical Massacre (Explicit),The Beatnuts,1999-08-10,174800,49,0.783,0.0969,0.783,0.633,0.000994,0.154,-6.983,0.291,100.428
70,What's The Difference,2001,Dr. Dre,1999-11-16,244200,72,0.772,0.223,0.772,0.821,0.0,0.148,-0.14,0.25,91.921
71,Gangsta Gangsta,Straight Outta Compton,N.W.A.,1988-08-08,336917,62,0.894,0.0279,0.894,0.698,3.56e-06,0.329,-8.264,0.275,98.104
72,Ruff Ryders' Anthem,It's Dark And Hell Is Hot,DMX,1998-05-01,214440,68,0.88,0.0564,0.88,0.577,1.02e-06,0.201,-8.093,0.302,90.991
73,Microphone Fiend,Follow The Leader,Eric B. & Rakim,1988,314600,47,0.586,0.354,0.586,0.795,0.0,0.187,-8.71,0.258,94.101
74,Dangerous,When Disaster Strikes...,Busta Rhymes,1997,217640,42,0.913,0.0096,0.913,0.6,0.0,0.117,-8.446,0.202,103.268
