acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.827,0.256,134400,0.256,0.00053,A#,0.104,-17.061,Minor,0.0436,86.636,0.136,
7.08E-05,0.347,433507,0.936,0.539,C,0.534,-5.142,Major,0.151,169.903,0.181,
0.866,0.362,175867,0.0844,0.973,E,0.102,-25.144,Minor,0.0292,80.547,0.088,
0.857,0.177,319427,0.176,0.877,D,0.105,-17.595,Minor,0.0339,86.105,0.131,
0.916,0.432,96120,0.0629,4.96E-05,G#,0.0865,-24.219,Minor,0.0506,81.276,0.653,
0.995,0.487,308236,0.00188,0.96,F,0.0707,-40.027,Major,0.133,124.782,0.138,
0.995,0.163,207187,0.101,0.00634,G#,0.0793,-21.802,Major,0.0427,89.433,0.0362,
0.827,0.199,262027,0.136,0.272,B,0.746,-28.83,Major,0.085,78.085,0.118,
0.948,0.515,166320,0.157,0,B,0.209,-28.032,Major,0.113,91.418,0.381,
0.994,0.44,377373,0.0472,0.917,D#,0.103,-30.034,Major,0.0515,95.689,0.285,
0.887,0.196,159322,0.0918,0.0316,F#,0.341,-16.951,Minor,0.0412,102.094,0.163,
7.61E-06,0.424,345573,0.94,0.00263,F#,0.385,-5.276,Major,0.0534,107.569,0.233,
9.30E-05,0.598,153472,0.816,0.839,D,0.15,-6.812,Minor,0.0799,134.057,0.777,
0.965,0.0965,660187,0.0206,0.843,F,0.0877,-27.968,Major,0.0494,79.601,0.04,
0.829,0.166,147560,0.0939,0.918,F,0.108,-31.419,Major,0.0496,84.967,0.0372,
0.966,0.428,171000,0.137,0.000271,F,0.386,-16.807,Major,0.0484,147.173,0.434,
0.949,0.144,178427,0.0307,0.82,G,0.0898,-30.109,Major,0.0372,93.727,0.0358,
0.817,0.585,318320,0.205,0.866,C,0.161,-20.553,Major,0.034,97.922,0.385,
0.99,0.154,56640,0.0219,0.947,C,0.139,-39.387,Major,0.0285,79.189,0.618,
0.992,0.244,115969,0.104,0.825,G,0.0893,-20.735,Minor,0.0472,88.327,0.117,
0.994,0.189,151000,0.0229,0.911,G,0.0871,-28.732,Major,0.0492,69.126,0.0392,
0.986,0.433,431000,0.184,0.917,F,0.0992,-21.671,Minor,0.0382,124.136,0.129,
