name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
Footprints,Miles Smiles,Miles Davis,Jazz,1967-01,585960,0.128,0.402,0.409,0.000568,0.0947,-13.95,0.0363,130.681
Blue Bossa - Remastered,Page One,Joe Henderson,Jazz,10/1/1963,482440,0.911,0.531,0.366,0.88,0.0916,-11.697,0.0496,81.867
Have You Met Miss Jones?,We Get Requests,Oscar Peterson Trio,Jazz,1964,253840,0.861,0.698,0.0926,0.49,0.0887,-20.716,0.05,81.187
A Nightingale Sang In Berkeley Square,Recorded Fall '61,Stan Getz,Jazz,1/1/1961,419626,0.951,0.425,0.0429,0.0184,0.148,-24.86,0.0408,96.097
It's Only A Paper Moon,The War Years (1941-1947),Ella Fitzgerald,Jazz,9/13/1994,160133,0.944,0.761,0.103,0,0.127,-16.964,0.0416,114.044
Just Friends,After Hours,Sarah Vaughan,Jazz,4/12/1955,181493,0.952,0.203,0.306,0.000307,0.281,-12.366,0.0344,76.905
Young And Foolish,Everybody Digs Bill Evans,Bill Evans,Jazz,1959,354666,0.973,0.438,0.0172,0.557,0.0815,-23.66,0.0384,100.989
Autumn Nocturne,Blues Walk,Lou Donaldson,Jazz,1958,294666,0.967,0.539,0.0678,0.168,0.114,-18.039,0.0468,124.105
Blue World,Blue World,John Coltrane,Jazz,8/16/2019,368253,0.732,0.477,0.733,0.0756,0.153,-8.301,0.0682,120.42
Never Will I Marry,Nancy Wilson/Cannonball Adderley,Nancy Wilson,Jazz,1962,139200,0.631,0.589,0.184,0,0.0819,-12.282,0.049,98.365
Let's Do It,That Bad Eartha,Eartha Kitt,Jazz,1957,185466,0.874,0.653,0.0518,1.94E-06,0.242,-19.594,0.0359,96.591
Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,Ready For Freddie (Rudy Van Gelder Remaster Edition),Freddie Hubbard,Jazz,1961,395560,0.912,0.418,0.227,0.822,0.0956,-15.537,0.0379,103.586
Stella By Starlight (feat. John Coltrane & Bill Evans),Kind Of Blue (Legacy Edition),Miles Davis,Jazz,8/17/1959,284560,0.912,0.47,0.144,0.000118,0.0965,-12.824,0.0365,84.787
I'll Never Smile Again,In The Land Of Hi Fi,Sarah Vaughan,Jazz,1/1/1955,153706,0.939,0.279,0.129,0.000229,0.204,-14.595,0.0326,59.991
