name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
Four,Workin',Miles Davis Quintet,Jazz,1959,433106,0.558,0.484,0.635,0,0.366,-7.109,0.043,99.308
Four Brothers,Art Pepper + Eleven: Modern Jazz Classics,Art Pepper,Jazz,1/1/1959,178533,0.673,0.492,0.583,2.38E-06,0.201,-9.927,0.19,73.64
Summertime,Charlie Parker With Strings: Complete Master Takes,Charlie Parker,Jazz,1/1/1995,166133,0.704,0.356,0.324,0.0025,0.204,-8.699,0.0289,88.861
Joy Spring,Clifford Brown And Max Roach,Clifford Brown,Jazz,12/1/1954,410666,0.702,0.654,0.334,0.714,0.114,-12.662,0.0521,81.544
Autumn Leaves,My Funny Valentine: The Best Of Chet Baker,Chet Baker,Jazz,4/23/2010,423573,0.779,0.496,0.634,0.402,0.0746,-10.328,0.0364,93.357
Dream A Little Dream Of Me - Single Version,"Love, Ella",Ella Fitzgerald,Jazz,5/3/2007,185160,0.913,0.443,0.104,0,0.191,-17.042,0.101,76.497
The Girl From Ipanema,Stan Getz: The Bossa Nova Albums,Stan Getz,Jazz,1/1/2008,317986,0.867,0.641,0.14,0.00166,0.105,-16.79,0.039,129.318
You Don't Know What Love Is,Lady In Satin,Billie Holiday,Jazz,1958-06,228133,0.822,0.215,0.247,7.50E-05,0.355,-15.11,0.0354,86.391
There Will Never Be Another You,The President Plays With The Oscar Peterson Trio,Lester Young,Jazz,6/2/1959,205666,0.978,0.588,0.0387,0.823,0.116,-17.944,0.06,83.4
'Round Midnight,"Genius Of Modern Music (Vol.1, Expanded Edition)",Thelonious Monk,Jazz,1951,193840,0.907,0.542,0.32,0.649,0.0609,-9.975,0.0387,116.648
Two Not One,Lee Konitz with Warne Marsh,Lee Konitz,Jazz,10/18/2005,331266,0.627,0.624,0.383,5.44E-06,0.0963,-10.561,0.0633,117.526
Until The Real Thing Comes Along,Soul,Coleman Hawkins,Jazz,1/1/1958,282666,0.769,0.5,0.208,0.496,0.372,-14.235,0.0743,180.852
You Don't Know What Love Is,For Those In Love (Expanded Edition),Dinah Washington,Jazz,1/1/1955,245000,0.966,0.516,0.101,3.89E-05,0.0906,-12.753,0.0513,137.832
It Could Happen To You,Relaxin' With The Miles Davis Quintet,Miles Davis Quintet,Jazz,1958,396960,0.451,0.623,0.403,1.13E-05,0.448,-11.121,0.0426,93.911
Cloe,Intercontinental,Joe Pass,Jazz,8/12/2014,321951,0.939,0.483,0.186,0.873,0.115,-21.824,0.0409,150.87
Makin' Whoopee,Soulville,The Ben Webster Quintet,Jazz,1/1/1957,271893,0.883,0.529,0.0582,0.125,0.116,-19.131,0.0617,93.486
Lover Man,Lover Man,Billie Holiday,Jazz,1/1/1958,197706,0.921,0.365,0.136,0,0.103,-12.42,0.0436,64.212
Body and Soul,Body & Soul,Coleman Hawkins,Jazz,5/21/1996,182360,0.976,0.659,0.113,0.88,0.179,-16.756,0.0569,95.063
Tea for Two,Piano Starts Here,Art Tatum,Jazz,1933,193866,0.991,0.358,0.452,0.864,0.14,-13.02,0.0347,166.973
A Day In The Life,Wes Montgomery: Finest Hour,Wes Montgomery,Jazz,1/1/2000,354973,0.769,0.476,0.251,0.774,0.0637,-13.854,0.0278,98.833
I Remember You,Motion,Lee Konitz,Jazz,1/1/1961,266706,0.794,0.564,0.305,0.0983,0.152,-14.224,0.063,115.739
How Long Has This Been Going On,"Ben And ""Sweets""",Ben Webster,Jazz,1962,330693,0.99,0.529,0.0367,0.31,0.127,-21.63,0.0515,140.296
Crystal Silence,Return To Forever,Chick Corea,Jazz,7/1/1972,415000,0.985,0.203,0.0186,0.377,0.0728,-24.277,0.0408,76.591
You'd Be So Nice to Come Home To,Art Pepper Meets The Rhythm Section (OJC Remaster),Art Pepper,Jazz,1957,327773,0.388,0.664,0.422,0.000107,0.0626,-11.738,0.0552,89.263
"Take the ""A"" Train",Jazz Profiles,Duke Ellington,Jazz,7/14/2008,332640,0.272,0.5,0.284,0.0432,0.12,-15.59,0.0404,93.724
All of Me,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),Billie Holiday,Jazz,1933,181440,0.972,0.504,0.0644,4.36E-06,0.174,-14.754,0.0408,106.994
Solar - Rudy Van Gelder Remaster,Walkin',Miles Davis,Jazz,1957,282866,0.864,0.636,0.181,0.00251,0.0706,-17.511,0.0456,84.203
Lullaby Of Birdland,Sarah Vaughan,Sarah Vaughan,Jazz,12/1/1954,240866,0.813,0.578,0.351,0,0.123,-12.432,0.101,122.712
My Funny Valentine,Chet Baker Sings,Chet Baker,Jazz,1956,141133,0.941,0.438,0.00756,0.00643,0.109,-26.44,0.0382,133.32
I've Got A Crush On You,Ella Sings Gershwin,Ella Fitzgerald,Jazz,9/11/1950,196440,0.986,0.455,0.106,0,0.122,-14.086,0.0422,66.807
So Tender,"Standards, Vol. 2",Keith Jarrett,Jazz,1983,435266,0.818,0.373,0.302,0.835,0.171,-20.358,0.0376,86.925
