name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
With Or Without You - Remastered,The Joshua Tree (Super Deluxe),U2,Rock,3/3/1987,295515,0.000202,0.54,0.429,0.355,0.141,-11.822,0.0285,110.171
Crazy On You,Dreamboat Annie,Heart,Rock,1975,293440,0.116,0.427,0.459,0.000103,0.132,-12.442,0.0332,129.878
Mountain Song,Nothing's Shocking,Jane's Addiction,Rock,8/23/1988,242720,0.0155,0.324,0.931,0.0252,0.277,-6.803,0.0837,82.748
Rock and Roll - Remaster,Mothership (Remastered),Led Zeppelin,Rock,2007,220880,0.00091,0.317,0.879,0.00142,0.0972,-7.533,0.0406,169.534
Kickstart My Heart,Dr. Feelgood,MÃ¶tley CrÃ¼e,Rock,1989,282653,0.00125,0.359,0.981,0.00236,0.284,-3.622,0.303,178.98
Zombie,No Need To Argue,The Cranberries,Rock,10/3/1994,306426,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,166.973
More Than a Feeling,Boston,Boston,Rock,1976,285133,0.000894,0.377,0.682,0.00217,0.0504,-8.039,0.0299,108.736
Saturday Nightâ€™s Alright (For Fighting) - Remastered 2014,Goodbye Yellow Brick Road (Remastered),Elton John,Rock,10/5/1973,295466,0.0195,0.513,0.979,0.0951,0.0906,-6.362,0.0425,152.875
In The Air Tonight - 2015 Remastered,Face Value (Deluxe Editon),Phil Collins,Rock,1/1/1981,336453,0.551,0.446,0.239,4.10E-06,0.0697,-13.945,0.0316,189.507
All Along the Watchtower,Electric Ladyland,Jimi Hendrix,Rock,10/25/1968,240800,0.00255,0.438,0.805,5.69E-05,0.0842,-6.237,0.0624,113.253
Thunderstruck,The Razors Edge,AC/DC,Rock,9/24/1990,292880,0.000147,0.502,0.89,0.0117,0.217,-5.175,0.0364,133.52
Back on the Chain Gang - 2007 Remaster,Learning to Crawl (Expanded & Remastered),Pretenders,Rock,1984,231120,0.116,0.598,0.901,0.0401,0.178,-6.081,0.0359,153.24
Rebel Rebel - 1999 Remaster,Diamond Dogs (30th Anniversary),David Bowie,Rock,4/24/1974,269360,0.00101,0.676,0.92,8.65E-06,0.248,-7.96,0.0435,126.341
Break on Through (To the Other Side),The Doors,The Doors,Rock,1/4/1967,145866,0.2,0.421,0.751,0,0.17,-9.584,0.0472,89.839
Born in the U.S.A.,Born In The U.S.A.,Bruce Springsteen,Rock,6/4/1984,278680,0.000373,0.398,0.952,7.75E-05,0.1,-6.042,0.061,122.093
Bitter Sweet Symphony,Urban Hymns (Remastered 2016),The Verve,Rock,9/29/1997,357266,0.0335,0.356,0.917,0,0.406,-6.006,0.0479,171.176
Won't Get Fooled Again - Original Album Version,Who's Next (Deluxe Edition),The Who,Rock,8/14/1971,511400,0.301,0.686,0.92,0.27,0.0807,-6.231,0.0566,135.027
White Wedding - Pt. 1,Billy Idol,Billy Idol,Rock,1/1/1982,252200,0.0133,0.673,0.814,0.00293,0.343,-5.411,0.0367,147.193
The Spirit Of Radio,Permanent Waves,Rush,Rock,1/1/1980,296466,0.0144,0.365,0.924,0.000254,0.423,-7.066,0.0488,135.811
Carry on Wayward Son,Leftoverture (Expanded Edition),Kansas,Rock,1976,323000,0.00321,0.482,0.786,8.88E-05,0.446,-5.735,0.032,126.755
Mr. Brightside,Hot Fuss,The Killers,Rock,6/15/2004,222586,0.00101,0.356,0.924,0,0.0953,-3.74,0.0808,148.017
Where Is My Mind? - Remastered,Surfer Rosa,Pixies,Rock,3/21/1988,234973,0.0204,0.519,0.441,0.000453,0.076,-14.178,0.0353,81.334
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,Rock,7/21/1987,354520,0.0866,0.454,0.91,0.0996,0.116,-7.766,0.0448,125.116
Rock And Roll All Nite,Dressed To Kill (Remastered Version),KISS,Rock,3/19/1975,168733,0.046,0.656,0.931,0,0.0543,-5.827,0.0976,144.747
Last Nite,Is This It,The Strokes,Rock,7/30/2001,193373,0.0221,0.624,0.899,0.000137,0.0975,-5.709,0.0296,104.061
Hit Me With Your Best Shot,Crimes Of Passion,Pat Benatar,Rock,8/5/1980,171266,0.117,0.741,0.58,3.31E-05,0.212,-9.05,0.0304,127.402
Under Pressure - Remastered 2011,Greatest Hits II,Queen,Rock,10/28/1991,236520,0.524,0.663,0.712,0,0.0804,-7.268,0.0479,113.439
Alive,Ten,Pearl Jam,Rock,8/27/1991,340907,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,75.009
Rock You Like a Hurricane - 2015 - Remaster,Love At First Sting (Deluxe Edition),Scorpions,Rock,3/27/1984,253666,0.00484,0.402,0.873,7.30E-05,0.157,-3.209,0.0586,125.443
You Give Love A Bad Name,Slippery When Wet,Bon Jovi,Rock,8/16/1986,222706,0.0663,0.541,0.96,2.25E-06,0.344,-2.947,0.0505,122.803
School's Out,School's Out,Alice Cooper,Rock,1972,210106,0.05,0.294,0.745,0.125,0.676,-9.138,0.0461,134.364
Bullet With Butterfly Wings - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,Rock,1995,258466,5.59E-05,0.404,0.72,0.836,0.0466,-9.18,0.0623,121.864
"Paint It, Black - Mono",The Rolling Stones In Mono (Remastered 2016),The Rolling Stones,Rock,1/1/1966,204480,0.0103,0.505,0.836,0.0771,0.295,-7.384,0.101,159.669
The Chain,Rumours,Fleetwood Mac,Rock,2/4/1977,271000,0.0629,0.546,0.529,0.000567,0.0383,-13.6,0.0436,151.727
Good Times Roll - 2016 Remaster,The Elektra Years 1978 - 1987,The Cars,Rock,3/11/2016,225226,0.0731,0.631,0.689,0.000357,0.102,-8.358,0.0284,107.667
Satellite of Love,Transformer,Lou Reed,Rock,12/1/1972,221120,0.442,0.458,0.502,5.51E-06,0.299,-10.186,0.0294,121.861
Stuck In The Middle With You,Stealers Wheel,Stealers Wheel,Rock,1/1/1972,208946,0.0936,0.82,0.575,0.000135,0.109,-9.144,0.0408,123.765
The Middle,Bleed American (Deluxe Edition),Jimmy Eat World,Rock,2001,168253,0.0424,0.629,0.897,0,0.263,-3.401,0.0483,161.944
Fortunate Son,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,John Fogerty,Rock,12/14/2005,138053,0.0648,0.636,0.746,0.29,0.173,-3.785,0.0393,132.31
Times Like These - Acoustic Version,20225,Foo Fighters,Rock,10/18/2019,238586,0.128,0.588,0.559,0,0.0977,-4.849,0.0272,123.845
Layla - 40th Anniversary Version / 2010 Remastered,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),Derek & The Dominos,Rock,11/1/1970,423840,0.577,0.404,0.903,0.297,0.287,-3.88,0.0668,115.672
