genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rap,0.00673,0.784,250040,0.57,0.0,A#,0.331,-8.086,Minor,0.149,99.057,0.605
Rap,0.139,0.8,186253,0.672,0.0,C#,0.303,-4.939,Major,0.165,145.985,0.324
Rap,0.123,0.444,206627,0.627,0.0,G,0.0795,-8.744,Minor,0.252,98.21,0.359
Rap,0.174,0.772,126043,0.605,0.0,C,0.329,-4.223,Minor,0.0579,128.162,0.425
Rap,0.243,0.887,184000,0.737,4.11e-05,F#,0.109,-6.489,Minor,0.16,104.924,0.685
Rap,0.908,0.66,186481,0.383,0.0,F#,0.106,-9.781,Minor,0.0359,129.959,0.173
Rap,0.533,0.554,217027,0.4,0.162,A,0.0836,-12.267,Minor,0.0532,134.021,0.335
Rap,0.0989,0.685,205669,0.713,0.0,A#,0.262,-6.695,Minor,0.203,151.973,0.691
Rap,0.47,0.678,242931,0.667,1.96e-05,G#,0.135,-8.579,Major,0.347,92.21,0.652
Rap,0.0161,0.691,169714,0.685,0.0,G,0.142,-4.924,Major,0.0265,140.014,0.401
Rap,0.578,0.457,238560,0.573,3.05e-06,F,0.114,-3.866,Minor,0.0275,76.193,0.0992
Rap,0.109,0.767,219793,0.688,0.0,A,0.0667,-2.712,Minor,0.0343,110.0,0.162
Rap,0.0904,0.821,229045,0.529,1.73e-06,C#,0.162,-6.924,Major,0.18,98.555,0.0622
Rap,0.0772,0.733,241133,0.744,0.0,C#,0.341,-3.51,Major,0.0553,92.515,0.529
Rap,0.0527,0.878,177680,0.654,0.0,C,0.0992,-7.262,Major,0.208,131.983,0.43
Rap,0.103,0.687,227147,0.647,0.0,C#,0.0776,-5.984,Major,0.287,97.092,0.654
Rap,0.00605,0.862,120960,0.668,0.0,C#,0.156,-5.181,Minor,0.198,84.809,0.532
Rap,0.25,0.708,198298,0.675,0.0,B,0.19,-6.351,Minor,0.481,78.655,0.599
Rap,0.0313,0.579,99267,0.372,0.00204,C#,0.165,-13.62,Major,0.383,98.541,0.282
Rap,0.126,0.783,186373,0.662,0.0,G,0.101,-6.124,Major,0.0415,96.987,0.523
Rap,0.111,0.757,163387,0.448,0.000157,C#,0.154,-9.461,Minor,0.115,149.974,0.3
Rap,0.226,0.829,203333,0.915,1.25e-05,G#,0.246,-3.205,Major,0.106,118.903,0.779
Rap,0.123,0.699,168315,0.442,5.84e-06,C,0.0906,-8.543,Minor,0.315,164.026,0.474
Rap,0.0805,0.887,140973,0.756,0.0,C#,0.337,-3.909,Major,0.238,130.168,0.574
Rap,0.015,0.423,313909,0.536,0.0,G,0.095,-3.8,Major,0.16,71.313,0.0895
Rap,0.21,0.798,313560,0.639,6.97e-06,A#,0.337,-6.731,Minor,0.228,82.093,0.387
Rap,3.21e-05,0.295,254613,0.98,0.0,D,0.359,-4.075,Minor,0.0854,134.335,0.283
Rap,0.00421,0.219,316667,0.989,0.0156,B,0.375,-2.962,Minor,0.16,168.069,0.149
Rap,0.0615,0.846,245533,0.659,0.0,A#,0.297,-6.888,Minor,0.0809,107.014,0.622
Rap,0.00692,0.728,196800,0.676,2.53e-06,C#,0.101,-5.131,Minor,0.132,99.972,0.307
Rap,0.035,0.793,151290,0.775,0.0,F,0.125,-2.354,Minor,0.0714,146.032,0.232
Rap,0.688,0.588,175248,0.525,0.0,E,0.448,-8.13,Minor,0.438,119.961,0.476
Rap,0.619,0.585,163019,0.756,0.0,G#,0.132,-4.19,Major,0.425,158.317,0.838
Rap,0.0728,0.801,147600,0.578,0.0,C#,0.185,-7.148,Major,0.201,100.032,0.126
Rap,0.163,0.713,187681,0.366,0.00022,B,0.107,-13.424,Major,0.251,145.963,0.415
Rap,0.0485,0.626,176640,0.526,0.00627,G,0.107,-4.112,Minor,0.0452,127.977,0.17
Rap,0.0151,0.888,161758,0.665,0.0,F,0.219,-7.055,Minor,0.093,78.021,0.568
Rap,0.0733,0.552,260000,0.76,0.0,C,0.0865,-4.706,Major,0.342,135.702,0.639
Rap,0.0226,0.666,191565,0.775,0.0,D,0.254,-5.458,Minor,0.0979,144.998,0.59
Rap,0.000652,0.712,177093,0.649,0.0,C#,0.0683,-4.753,Major,0.063,127.028,0.616
